iso3c,coef,se,ci_low,ci_high,country,label
RWA,0.663015643223469,0.396603209872576,-0.114326648126781,1.44035793457372,Rwanda,Rwanda (RWA)
YEM,0.694623144854532,0.396179057832023,-0.0818878084962334,1.4711340982053,"Yemen, Rep.","Yemen, Rep. (YEM)"
MWI,0.725883795108608,0.392210919618141,-0.042849607342949,1.49461719756017,Malawi,Malawi (MWI)
BFA,0.728738736542628,0.396826628317958,-0.0490414549605695,1.50651892804583,Burkina Faso,Burkina Faso (BFA)
BDI,0.761823637525796,0.400404870637633,-0.022969908923965,1.54661718397556,Burundi,Burundi (BDI)
TCD,0.76270039085187,0.362377346658168,0.0524407914018614,1.47295999030188,Chad,Chad (TCD)
MOZ,0.797846811259289,0.382709521440903,0.0477361492351189,1.54795747328346,Mozambique,Mozambique (MOZ)
SYR,0.798918821189878,0.371226966951319,0.0713139659652923,1.52652367641446,Syrian Arab Republic,Syrian Arab Republic (SYR)
MDG,0.83601481998159,0.396082950878847,0.0596922362590504,1.61233740370413,Madagascar,Madagascar (MDG)
ERI,0.83903715474118,0.373645223501438,0.106692516678362,1.571381792804,Eritrea,Eritrea (ERI)
COD,0.843929605141962,0.369026538312536,0.120637590049391,1.56722162023453,"Congo, Dem. Rep.","Congo, Dem. Rep. (COD)"
SLE,0.848126669897056,0.367083272423689,0.128643455946626,1.56760988384749,Sierra Leone,Sierra Leone (SLE)
AFG,0.856283187103096,0.353483286177273,0.163455946195642,1.54911042801055,Afghanistan,Afghanistan (AFG)
GNB,0.8623622651671,0.366984892152247,0.143071876548697,1.5816526537855,Guinea-Bissau,Guinea-Bissau (GNB)
MLI,0.872732020569339,0.367135181610231,0.153147064613286,1.59231697652539,Mali,Mali (MLI)
NER,0.884219970303709,0.369398031944855,0.160199827691793,1.60824011291563,Niger,Niger (NER)
TGO,0.886259579875956,0.374786054374105,0.151678913302709,1.6208402464492,Togo,Togo (TGO)
CAF,0.908739089993277,0.369260415005951,0.184988676581613,1.63248950340494,Central African Republic,Central African Republic (CAF)
LBR,0.908851930309985,0.374157112206283,0.17550399038567,1.6421998702343,Liberia,Liberia (LBR)
ETH,0.910874699352621,0.380683910685706,0.164734234408638,1.6570151642966,Ethiopia,Ethiopia (ETH)
UGA,0.967930901067476,0.339210337004697,0.303078640538271,1.63278316159668,Uganda,Uganda (UGA)
SDN,0.992687100108933,0.340179249555123,0.325935770980893,1.65943842923697,Sudan,Sudan (SDN)
GMB,1.01568025309577,0.3428976585316,0.343600842373835,1.68775966381771,"Gambia, The","Gambia, The (GMB)"
